Timestamp,Flow,Height,Temp
2020-01-01 01:15:00,17800.0,11.65,
2020-01-01 01:30:00,17900.0,11.69,
2020-01-01 01:45:00,18300.0,11.78,
2020-01-01 02:00:00,18500.0,11.82,
2020-01-01 02:15:00,18800.0,11.88,
2020-01-01 02:30:00,19000.0,11.92,
2020-01-01 02:45:00,19300.0,12.0,
2020-01-01 03:00:00,19400.0,12.02,
2020-01-01 03:15:00,19500.0,12.05,
2020-01-01 03:30:00,19800.0,12.1,
2020-01-01 03:45:00,20000.0,12.15,
2020-01-01 04:00:00,20000.0,12.15,
2020-01-01 04:15:00,20200.0,12.2,
2020-01-01 04:30:00,20200.0,12.19,
2020-01-01 04:45:00,20400.0,12.23,
2020-01-01 05:00:00,20400.0,12.24,
2020-01-01 05:15:00,20600.0,12.28,
2020-01-01 05:30:00,20700.0,12.3,
2020-01-01 05:45:00,20900.0,12.33,
2020-01-01 06:00:00,20900.0,12.34,
2020-01-01 06:15:00,21000.0,12.37,
2020-01-01 06:30:00,21100.0,12.38,
2020-01-01 06:45:00,21200.0,12.41,
2020-01-01 07:00:00,21400.0,12.45,
2020-01-01 07:15:00,21600.0,12.48,
2020-01-01 07:30:00,21300.0,12.43,
2020-01-01 07:45:00,21400.0,12.44,
2020-01-01 08:00:00,21300.0,12.42,
2020-01-01 08:15:00,21200.0,12.41,
2020-01-01 08:30:00,21100.0,12.38,
2020-01-01 08:45:00,20900.0,12.34,
2020-01-01 09:00:00,20700.0,12.3,
2020-01-01 09:15:00,20700.0,12.29,
2020-01-01 09:30:00,20600.0,12.27,
2020-01-01 09:45:00,20400.0,12.23,
2020-01-01 10:00:00,20200.0,12.19,
2020-01-01 10:15:00,20100.0,12.18,
2020-01-01 10:30:00,19800.0,12.11,
2020-01-01 10:45:00,19800.0,12.11,
2020-01-01 11:00:00,19500.0,12.04,
2020-01-01 11:15:00,19500.0,12.03,
2020-01-01 11:30:00,19200.0,11.97,
2020-01-01 11:45:00,18900.0,11.91,
2020-01-01 12:00:00,18900.0,11.9,
2020-01-01 12:15:00,18800.0,11.88,
2020-01-01 12:30:00,18600.0,11.84,
2020-01-01 12:45:00,18500.0,11.81,
2020-01-01 13:00:00,18300.0,11.77,
2020-01-01 13:15:00,18000.0,11.7,
2020-01-01 13:30:00,17800.0,11.67,
2020-01-01 13:45:00,17800.0,11.66,
2020-01-01 14:00:00,17600.0,11.62,
2020-01-01 14:15:00,17500.0,11.59,
2020-01-01 14:30:00,17300.0,11.55,
2020-01-01 14:45:00,17100.0,11.49,
2020-01-01 15:00:00,17000.0,11.48,
2020-01-01 15:15:00,16700.0,11.4,
2020-01-01 15:30:00,16600.0,11.38,
2020-01-01 15:45:00,16500.0,11.36,
2020-01-01 16:00:00,16400.0,11.34,
